Bundesland;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026
Baden-Württemberg;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Bayern;;;;;;;;;;;;;;;;;;;;;1
Berlin;;;;;;;;;;1;1;;;;;;1;1;1;1;1
Brandenburg;1;;;;;;;;;1;1;;;;;;1;1;1;1;1
Bremen;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Hamburg;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Hessen;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Mecklenburg-Vorpommern;;;;;;;;;;;;;;;;;;;;;1
Niedersachsen;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
NRW;;;;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Rheinland-Pfalz;;;;;;;;;;;;;;;;;;;;;1
Saarland;;;;;;;;;;;;;;;;1;1;1;;;1
Sachsen;1;1;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Sachsen-Anhalt;;;;;;;;;;;;;;;;;;;;;1
Schleswig-Holstein;;;;;;;;;;;;;;;;;;1;1;1;1
Thüringen;;;;;;;;;;;;;;;;;;;;;1
